Designator,Mid X,Mid Y,Rotation,Layer
BOOT,146.95,-96.96,0.0,top
C1,129.41,-99.35,270.0,top
C10,147.08,-92.46,0.0,top
C11,136.38,-90.35,0.0,top
C12,136.36,-84.67,0.0,top
C2,129.41,-96.345,90.0,top
C3,129.41,-92.995,270.0,top
C4,129.43,-90.005,90.0,top
C5,129.47,-86.69,270.0,top
C6,129.47,-83.69,90.0,top
C7,140.75,-92.82,270.0,top
C8,131.31,-101.93,0.0,top
C9,131.3,-103.45,0.0,top
J2,132.46,-83.49,0.0,top
J3,140.55,-83.42,0.0,top
PA2,136.41,-76.91,0.0,top
PA3,147.09,-83.15,180.0,top
R1,135.53,-81.53,90.0,top
R2,137.24,-81.53,270.0,top
R3,147.08,-99.34,0.0,top
R4,147.13,-85.55,180.0,top
R5,141.71,-103.42,0.0,top
R6,141.71,-101.92,0.0,top
R7,136.4375,-78.47,0.0,top
RESET,147.13,-90.08,180.0,top
U1,136.47,-97.87,90.0,top
U2,136.37,-87.5,270.0,top
USB1,136.6,-108.07,0.0,top
